ANNEE,MOIS,NUM COMMANDE,CANAL,CENTRAL,ENSEIGNE,REFERENCE,DESIGNATION,SECTEUR,MARQUE,FAMILLE,SOUS-FAMILLE,PRODUIT,QUANTITE,PRIX,CA VENTE,PRIX ACHAT,CA ACHAT,MARGE
2023,1,S012300100,GMS,SYS.U FRANCE,SYSTEME U S.,49075,GRAND ANANAS 4TR JUS 12X2X1/4 ST MAM G1,Marque St Mamet Exotique,ST MAMET,FEM MONOFRUITS,EXOTIQUE,ANANAS,216,"22,8793","4941,9288","1,36","293,76","4648,1688"
2023,1,S012300100,GMS,SYS.U FRANCE,SYSTEME U S.,43720,MON ANANAS COCO 6X4XC113G ST MAMET,Marque St Mamet Fruits au siro,ST MAMET,FEM PRÊTS A CONSOMMER,CUPS,MELANGE DE FRUITS,45,"15,0282","676,269","1,639","73,755","602,514"
2023,1,S012300100,GMS,SYS.U FRANCE,SYSTEME U S.,51981,SALADE 4F DPNG B14-17 SAC 12X4/4  STMA,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,VARIETE,MACEDOINE ,72,"38,232","2752,704","2,459","177,048","2575,656"
2023,1,S012300100,GMS,SYS.U FRANCE,SYSTEME U S.,51029,CERISE B14-17 SAC ARO 12X1/2 STMAMET HVE,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,ROUGES,CERISE,144,"21,276","3063,744","0,924","133,056","2930,688"
2023,1,S012300100,GMS,SYS.U FRANCE,SYSTEME U S.,52157,PECHE SL SAC G4 12X1/2 STMA DPNG MED,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,PECHES,144,"19,266","2774,304","0,732","105,408","2668,896"
2023,1,S012300053,RHF,POMONA,#N/A,31344,CONF.ASSO.120XQ30 ST.MAMET,Marque St Mamet Gros Condition,ST MAMET,PETITS DEJEUNERS,CONFITURE,ASSORTI,150,"10,2143","1532,145","7,064","1059,6","472,545"
2023,1,S012300098,RHF,GEDAL,GEDAL,47923,CPTE. ALL. POMME FRANCE 120XFS  STMA,Marque St Mamet Gros Condition,ST MAMET,COMPOTES,POTS PLASTIQUE,POMME,45,"31,7159","1427,2155","20,632","928,44","498,7755"
2023,1,S012300098,RHF,GEDAL,GEDAL,46979,LYCHEES B14-17° 12X3/4 OF ST.MAMET,Marque St Mamet Exotique,ST MAMET,FEM MONOFRUITS,EXOTIQUE,LITCHI,6,"36,6573","219,9438","1,491","8,946","210,9978"
2023,1,S012300098,RHF,GEDAL,GEDAL,44273,POIRE SL  12X4/4 MELODIE DE FRUITS,Autres marques,MELODIE DE FRUIT,FEM MONOFRUITS,VERGER,POIRE,14,"19,56","273,84","1,211","16,954","256,886"
2023,1,S012300098,RHF,GEDAL,GEDAL,46842,COCKTAIL 4F SL   3X5/1 MELODIE DE FRUITS,Autres marques,MELODIE DE FRUIT,FEM SALADES DE FRUITS,COCKTAIL,COCKTAIL,55,"21,66","1191,3","8,198","450,89","740,41"
